player1,player2,match_results,results_set,upset_results,results_set_with_dates,upset_results_set_with_dates,or,p_value_fisher,expected_wins_p1,expected_wins_p2,actual_wins_p1,actual_wins_p2
Lammer M.,Sabau R.,['p2'],['N'],[],['2005-07-05'],['2005-07-05'],nan,1.0,0.5,0.5,0,1
Sabau R.,Vik R.,['p1'],['U'],['UW'],['2006-06-12'],['2006-06-12'],nan,1.0,0.23710764997766184,0.7628923500223381,1,0
Calleri A.,Sabau R.,['p1'],['N'],[],['2005-10-26'],['2005-10-26'],nan,1.0,0.4739605164305296,0.5260394835694705,1,0
Sabau R.,Sanguinetti D.,['p2'],['U'],['UL'],['2005-09-12'],['2005-09-12'],nan,1.0,0.39133652223741966,0.6086634777625803,0,1
Sabau R.,Wawrinka S.,['p2'],['N'],[],['2005-07-09'],['2005-07-09'],nan,1.0,0.5305191961593138,0.4694808038406862,0,1
Sabau R.,Starace P.,"['p1', 'p1']","['U', 'U']","['UW', 'UW']","['2005-07-08', '2006-02-27']","['2005-07-08', '2006-02-27']",0.0,0.3333333333333333,0.7140422672290572,1.2859577327709428,2,0
Almagro N.,Sabau R.,['p1'],['N'],[],['2005-07-26'],['2005-07-26'],nan,1.0,0.35383442960234,0.6461655703976599,1,0
Goldstein P.,Sabau R.,['p1'],['N'],[],['2006-07-18'],['2006-07-18'],nan,1.0,0.6910072583667711,0.3089927416332288,1,0
Sabau R.,Zabaleta M.,['p1'],['U'],['UW'],['2005-09-26'],['2005-09-26'],nan,1.0,0.4034495476773114,0.5965504523226887,1,0
Sabau R.,Seppi A.,"['p2', 'p2']","['N', 'N']",[],"['2005-09-29', '2005-10-04']","['2005-09-29', '2005-10-04']",nan,1.0,0.7905267097711273,1.209473290228873,0,2
Hernandez O.,Sabau R.,['p2'],['N'],[],['2005-08-01'],['2005-08-01'],nan,1.0,0.40918468200140806,0.590815317998592,0,1
Berlocq C.,Sabau R.,['p2'],['N'],[],['2005-07-19'],['2005-07-19'],nan,1.0,0.39810581957389235,0.6018941804261077,0,1
Monfils G.,Sabau R.,['p1'],['N'],[],['2006-05-02'],['2006-05-02'],nan,1.0,0.7622352835077142,0.23776471649228575,1,0
Kohlschreiber P.,Sabau R.,['p1'],['N'],[],['2006-06-27'],['2006-06-27'],nan,1.0,0.8542684899579288,0.1457315100420712,1,0
Marin J.A.,Sabau R.,['p1'],['N'],[],['2006-02-15'],['2006-02-15'],nan,1.0,0.47421197279075494,0.525788027209245,1,0
Novak J.,Sabau R.,['p1'],['N'],[],['2005-07-20'],['2005-07-20'],nan,1.0,0.266169519284736,0.733830480715264,1,0
Gaudio G.,Sabau R.,['p1'],['N'],[],['2006-03-02'],['2006-03-02'],nan,1.0,0.8024455198448918,0.1975544801551082,1,0
Sabau R.,Volandri F.,['p2'],['N'],[],['2005-10-11'],['2005-10-11'],nan,1.0,0.3634580304474014,0.6365419695525986,0,1
Muller G.,Sabau R.,['p1'],['N'],[],['2006-01-03'],['2006-01-03'],nan,1.0,0.7881234113380576,0.2118765886619424,1,0
Agassi A.,Sabau R.,['p1'],['N'],[],['2005-08-30'],['2005-08-30'],nan,1.0,0.8702813090086067,0.12971869099139327,1,0
Ljubicic I.,Sabau R.,['p1'],['N'],[],['2006-06-14'],['2006-06-14'],nan,1.0,0.9577219919836467,0.042278008016353376,1,0
Patience O.,Sabau R.,['p1'],['N'],[],['2006-02-21'],['2006-02-21'],nan,1.0,0.6478219958369228,0.3521780041630771,1,0
Sabau R.,Vassallo-Arguello M.,['p2'],['N'],[],['2006-09-11'],['2006-09-11'],nan,1.0,0.1612267471608008,0.8387732528391992,0,1
Kindlmann D.,Sabau R.,['p1'],['N'],[],['2006-05-30'],['2006-05-30'],nan,1.0,0.654600943847197,0.345399056152803,1,0
Roitman S.,Sabau R.,['p1'],['N'],[],['2006-07-24'],['2006-07-24'],nan,1.0,0.6987784373259172,0.3012215626740828,1,0
Johansson J.,Vanek J.,['p2'],['U'],['UL'],['2005-07-05'],['2005-07-05'],nan,1.0,0.5,0.5,0,1
Saulnier C.,Vanek J.,['p1'],['N'],[],['2005-09-29'],['2005-09-29'],nan,1.0,0.4052812322684477,0.5947187677315522,1,0
Monaco J.,Vanek J.,"['p1', 'p1']","['N', 'N']",[],"['2007-02-12', '2008-05-22']","['2007-02-12', '2008-05-22']",nan,1.0,1.4012343743634075,0.5987656256365923,2,0
Behrend T.,Vanek J.,['p1'],['U'],['UW'],['2006-02-27'],['2006-02-27'],nan,1.0,0.49853758838141654,0.5014624116185835,1,0
Dlouhy L.,Vanek J.,"['p2', 'p2']","['U', 'U']","['UL', 'UL']","['2005-10-04', '2006-07-27']","['2005-10-04', '2006-07-27']",nan,1.0,0.9201939358468534,1.0798060641531464,0,2
Bjorkman J.,Vanek J.,['p1'],['N'],[],['2006-06-21'],['2006-06-21'],nan,1.0,0.5292408245497481,0.47075917545025187,1,0
Vanek J.,Wawrinka S.,['p2'],['N'],[],['2007-07-20'],['2007-07-20'],nan,1.0,0.36639759011703843,0.6336024098829616,0,1
Starace P.,Vanek J.,['p1'],['N'],[],['2008-08-18'],['2008-08-18'],nan,1.0,0.7654942371682774,0.23450576283172264,1,0
Almagro N.,Vanek J.,['p1'],['N'],[],['2008-02-26'],['2008-02-26'],nan,1.0,0.8528842438351534,0.1471157561648465,1,0
Serra F.,Vanek J.,"['p2', 'p2']","['U', 'U']","['UL', 'UL']","['2005-07-07', '2007-07-11']","['2005-07-07', '2007-07-11']",inf,0.3333333333333333,1.222205809367071,0.7777941906329293,0,2
Vanek J.,di Mauro A.,['p1'],['N'],[],['2006-08-01'],['2006-08-01'],nan,1.0,0.5624164294536214,0.4375835705463786,1,0
Vanek J.,Waske A.,['p2'],['U'],['UL'],['2006-04-11'],['2006-04-11'],nan,1.0,0.5232948836152416,0.4767051163847584,0,1
Martin A.,Vanek J.,['p1'],['N'],[],['2006-02-23'],['2006-02-23'],nan,1.0,0.5658490325832839,0.4341509674167161,1,0
Hernandez O.,Vanek J.,['p2'],['U'],['UL'],['2005-07-08'],['2005-07-08'],nan,1.0,0.4279332564673651,0.5720667435326349,0,1
Vanek J.,Youzhny M.,['p2'],['N'],[],['2007-12-31'],['2007-12-31'],nan,1.0,0.10824347157211547,0.8917565284278846,0,1
Berdych T.,Vanek J.,"['p1', 'p1']","['N', 'N']",[],"['2005-07-09', '2007-10-03']","['2005-07-09', '2007-10-03']",nan,1.0,1.4061382006834804,0.5938617993165195,2,0
Massu N.,Vanek J.,['p1'],['N'],[],['2005-07-20'],['2005-07-20'],nan,1.0,0.4711541870244127,0.5288458129755873,1,0
Robredo T.,Vanek J.,['p1'],['N'],[],['2006-01-16'],['2006-01-16'],nan,1.0,0.7523031120237605,0.24769688797623943,1,0
Vanek J.,Ventura S.,['p1'],['N'],[],['2006-07-24'],['2006-07-24'],nan,1.0,0.4370133029265759,0.5629866970734241,1,0
Norman D.,Vanek J.,['p2'],['N'],[],['2005-07-18'],['2005-07-18'],nan,1.0,0.2631522837019345,0.7368477162980654,0,1
Phau B.,Vanek J.,['p1'],['U'],['UW'],['2006-04-28'],['2006-04-28'],nan,1.0,0.6448077896885516,0.35519221031144843,1,0
Berlocq C.,Vanek J.,['p2'],['U'],['UL'],['2008-02-18'],['2008-02-18'],nan,1.0,0.5950433255795938,0.4049566744204062,0,1
Rochus O.,Vanek J.,['p1'],['N'],[],['2006-06-01'],['2006-06-01'],nan,1.0,0.8458185788181279,0.15418142118187195,1,0
Monfils G.,Vanek J.,"['p1', 'p2']","['N', 'U']",['UL'],"['2007-07-12', '2007-07-18']","['2007-07-12', '2007-07-18']",inf,1.0,1.674868005673782,0.325131994326218,1,1
Andreev I.,Vanek J.,"['p1', 'p1']","['N', 'N']",[],"['2008-02-21', '2008-06-23']","['2008-02-21', '2008-06-23']",nan,1.0,1.567253093788562,0.43274690621143785,2,0
Melzer J.,Vanek J.,"['p2', 'p1', 'p1']","['U', 'N', 'N']",['UL'],"['2006-04-26', '2008-01-15', '2008-08-28']","['2006-04-26', '2008-01-15', '2008-08-28']",inf,1.0,2.142361043484045,0.8576389565159552,2,1
Mathieu P.H.,Vanek J.,['p2'],['U'],['UL'],['2006-06-20'],['2006-06-20'],nan,1.0,0.8116417176442846,0.18835828235571545,0,1
Portas A.,Vanek J.,['p1'],['U'],['UW'],['2005-07-25'],['2005-07-25'],nan,1.0,0.36993084140652543,0.6300691585934746,1,0
Montanes A.,Vanek J.,['p2'],['U'],['UL'],['2006-02-20'],['2006-02-20'],nan,1.0,0.5625537938367774,0.4374462061632226,0,1
Karlovic I.,Vanek J.,['p1'],['N'],[],['2007-01-30'],['2007-01-30'],nan,1.0,0.6978670883391109,0.3021329116608892,1,0
Djokovic N.,Vanek J.,['p1'],['N'],[],['2006-07-29'],['2006-07-29'],nan,1.0,0.841218788728109,0.15878121127189096,1,0
Pavel A.,Vanek J.,['p1'],['N'],[],['2005-10-24'],['2005-10-24'],nan,1.0,0.546499590211045,0.45350040978895495,1,0
Vanek J.,Volandri F.,['p1'],['U'],['UW'],['2006-02-22'],['2006-02-22'],nan,1.0,0.21334222432883618,0.7866577756711638,1,0
Hrbaty D.,Vanek J.,['p1'],['N'],[],['2007-01-15'],['2007-01-15'],nan,1.0,0.7358606197414294,0.26413938025857064,1,0
Acasuso J.,Vanek J.,"['p1', 'p1']","['N', 'N']",[],"['2005-08-01', '2007-03-01']","['2005-08-01', '2007-03-01']",0.0,0.3333333333333333,0.9461656761459993,1.0538343238540009,2,0
Kiefer N.,Vanek J.,['p1'],['N'],[],['2005-08-30'],['2005-08-30'],nan,1.0,0.7295516447305881,0.27044835526941186,1,0
Haas T.,Vanek J.,['p1'],['N'],[],['2006-06-27'],['2006-06-27'],nan,1.0,0.9194552717468067,0.08054472825319331,1,0
Gonzalez F.,Vanek J.,"['p1', 'p1', 'p1']","['N', 'N', 'N']",[],"['2006-08-30', '2007-10-10', '2009-05-25']","['2006-08-30', '2007-10-10', '2009-05-25']",nan,1.0,2.7276918907725647,0.2723081092274354,3,0
Davydenko N.,Vanek J.,"['p1', 'p1']","['N', 'N']",[],"['2006-10-10', '2008-06-11']","['2006-10-10', '2008-06-11']",nan,1.0,1.8395721395510891,0.16042786044891083,2,0
Fish M.,Vanek J.,['p1'],['N'],[],['2006-10-24'],['2006-10-24'],nan,1.0,0.7574030677755019,0.24259693222449805,1,0
Stepanek R.,Vanek J.,"['p1', 'p1']","['N', 'N']",[],"['2005-10-06', '2008-05-29']","['2005-10-06', '2008-05-29']",nan,1.0,1.4275482098874719,0.5724517901125279,2,0
Ljubicic I.,Vanek J.,['p1'],['N'],[],['2006-01-05'],['2006-01-05'],nan,1.0,0.9112269813202297,0.08877301867977036,1,0
Coria G.,Vanek J.,['p1'],['N'],[],['2006-02-14'],['2006-02-14'],nan,1.0,0.72487512178492,0.27512487821507997,1,0
Karanusic R.,Vanek J.,['p2'],['U'],['UL'],['2007-10-08'],['2007-10-08'],nan,1.0,0.4478748955978298,0.5521251044021703,0,1
