player1,player2,match_results,results_set,upset_results,results_set_with_dates,upset_results_set_with_dates,or,p_value_fisher,expected_wins_p1,expected_wins_p2,actual_wins_p1,actual_wins_p2
Behrend T.,Bjorkman J.,['p2'],['N'],[],['2005-08-29'],['2005-08-29'],nan,1.0,0.5429735439438529,0.45702645605614706,0,1
Bjorkman J.,Luczak P.,['p1'],['U'],['UW'],['2007-05-29'],['2007-05-29'],nan,1.0,0.49481209213481037,0.5051879078651896,1,0
Bjorkman J.,Jenkins S.,['p1'],['N'],[],['2006-08-31'],['2006-08-31'],nan,1.0,0.6836449207969381,0.316355079203062,1,0
Bjorkman J.,Bracciali D.,['p1'],['U'],['UW'],['2006-06-30'],['2006-06-30'],nan,1.0,0.4826879416183032,0.5173120583816967,1,0
Bjorkman J.,Lee H.T.,['p2'],['N'],[],['2008-05-26'],['2008-05-26'],nan,1.0,0.31940435503306314,0.6805956449669369,0,1
Bjorkman J.,Hernandez O.,['p1'],['U'],['UW'],['2007-06-02'],['2007-06-02'],nan,1.0,0.6132040914133093,0.3867959085866905,1,0
Arthurs W.,Bjorkman J.,['p2'],['N'],[],['2007-07-02'],['2007-07-02'],nan,1.0,0.44933560226262215,0.550664397737378,0,1
Bjorkman J.,Clement A.,['p2'],['N'],[],['2008-06-24'],['2008-06-24'],nan,1.0,0.5077339254395797,0.49226607456042026,0,1
Bjorkman J.,Johansson T.,['p1'],['U'],['UW'],['2006-06-27'],['2006-06-27'],nan,1.0,0.42127823556251853,0.5787217644374815,1,0
Bjorkman J.,Karlovic I.,['p1'],['U'],['UW'],['2007-05-31'],['2007-05-31'],nan,1.0,0.2841092409971261,0.7158907590028739,1,0
Bjorkman J.,Spadea V.,['p2'],['N'],[],['2006-09-01'],['2006-09-01'],nan,1.0,0.751551762414717,0.24844823758528306,0,1
Bjorkman J.,Stepanek R.,['p1'],['U'],['UW'],['2006-07-05'],['2006-07-05'],nan,1.0,0.3270532683058216,0.6729467316941785,1,0
Berdych T.,Bjorkman J.,['p1'],['N'],[],['2007-07-05'],['2007-07-05'],nan,1.0,0.744835590925066,0.25516440907493404,1,0
Bjorkman J.,Gremelmayr D.,['p2'],['U'],['UL'],['2006-01-16'],['2006-01-16'],nan,1.0,0.730622696574489,0.2693773034255111,0,1
Bjorkman J.,Youzhny M.,['p2'],['N'],[],['2005-09-01'],['2005-09-01'],nan,1.0,0.2705387480268948,0.7294612519731053,0,1
Bjorkman J.,Dlouhy L.,['p1'],['N'],[],['2006-06-29'],['2006-06-29'],nan,1.0,0.7862260608506056,0.21377393914939435,1,0
Bjorkman J.,Vicente F.,['p1'],['N'],[],['2007-06-26'],['2007-06-26'],nan,1.0,0.9126313445684953,0.08736865543150468,1,0
Bjorkman J.,Wang Y.T.,['p1'],['N'],[],['2007-06-28'],['2007-06-28'],nan,1.0,0.6986389383844143,0.3013610616155857,1,0
Bjorkman J.,Mirnyi M.,['p1'],['U'],['UW'],['2006-07-03'],['2006-07-03'],nan,1.0,0.3811353158522598,0.6188646841477403,1,0
Bjorkman J.,Murray A.,['p2'],['N'],[],['2007-08-30'],['2007-08-30'],nan,1.0,0.20026209858668484,0.7997379014133151,0,1
Bjorkman J.,Patience O.,['p1'],['N'],[],['2007-01-15'],['2007-01-15'],nan,1.0,0.8708644700562576,0.12913552994374247,1,0
Bjorkman J.,Chardy J.,['p2'],['N'],[],['2006-05-30'],['2006-05-30'],nan,1.0,0.44836371439618533,0.5516362856038146,0,1
Bjorkman J.,Moya C.,['p2'],['N'],[],['2007-06-04'],['2007-06-04'],nan,1.0,0.21990681083751326,0.7800931891624867,0,1
Bjorkman J.,Guzman J.P.,['p1'],['N'],[],['2007-08-27'],['2007-08-27'],nan,1.0,0.6881075398104153,0.3118924601895847,1,0
Bjorkman J.,Federer R.,"['p2', 'p2']","['N', 'N']",[],"['2006-07-07', '2007-01-17']","['2006-07-07', '2007-01-17']",nan,1.0,0.07776469321088048,1.9222353067891196,0,2
Gasquet R.,Martin A.,['p1'],['N'],[],['2005-08-29'],['2005-08-29'],nan,1.0,0.7011626279259573,0.2988373720740426,1,0
Gasquet R.,Mayer F.,['p2'],['U'],['UL'],['2012-07-03'],['2012-07-03'],nan,1.0,0.6658829502085066,0.3341170497914934,0,1
Gasquet R.,Volandri F.,['p1'],['N'],[],['2007-01-15'],['2007-01-15'],nan,1.0,0.8195313420392938,0.18046865796070624,1,0
Fish M.,Gasquet R.,['p2'],['N'],[],['2008-06-24'],['2008-06-24'],nan,1.0,0.4508010159833776,0.5491989840166225,0,1
Djokovic N.,Gasquet R.,"['p1', 'p1', 'p1', 'p1']","['N', 'N', 'N', 'N']",[],"['2011-05-29', '2015-06-01', '2015-07-10', '2018-09-02']","['2011-05-29', '2015-06-01', '2015-07-10', '2018-09-02']",nan,1.0,3.5724066517009962,0.4275933482990037,4,0
Gasquet R.,Seppi A.,"['p1', 'p1']","['N', 'N']",[],"['2012-01-17', '2018-05-28']","['2012-01-17', '2018-05-28']",nan,1.0,1.4083199705290845,0.5916800294709155,2,0
Almagro N.,Gasquet R.,['p2'],['N'],[],['2012-06-29'],['2012-06-29'],nan,1.0,0.5316256837321842,0.4683743162678157,0,1
Gasquet R.,Wawrinka S.,"['p2', 'p1']","['N', 'U']",['UW'],"['2013-06-03', '2015-07-08']","['2013-06-03', '2015-07-08']",0.0,1.0,0.8384157191051989,1.1615842808948011,1,1
Gasquet R.,Karlovic I.,"['p2', 'p1']","['U', 'N']",['UL'],"['2011-09-01', '2020-09-02']","['2011-09-01', '2020-09-02']",inf,1.0,1.526165484491983,0.4738345155080169,1,1
Gasquet R.,Montanes A.,"['p1', 'p1']","['N', 'N']",[],"['2012-08-29', '2013-01-15']","['2012-08-29', '2013-01-15']",nan,1.0,1.6966074285415451,0.3033925714584549,2,0
Gasquet R.,Stepanek R.,['p1'],['N'],[],['2011-05-23'],['2011-05-23'],nan,1.0,0.6230288384723435,0.3769711615276566,1,0
Andreev I.,Gasquet R.,['p2'],['N'],[],['2008-01-18'],['2008-01-18'],nan,1.0,0.2728255510026667,0.7271744489973333,0,1
Gasquet R.,Ljubicic I.,['p1'],['N'],[],['2005-09-03'],['2005-09-03'],nan,1.0,0.5693371523163011,0.43066284768369884,1,0
