player1,player2,match_results,results_set,upset_results,results_set_with_dates,upset_results_set_with_dates,or,p_value_fisher,expected_wins_p1,expected_wins_p2,actual_wins_p1,actual_wins_p2
Behrend T.,Bjorkman J.,['p2'],['N'],[],['2005-08-29'],['2005-08-29'],nan,1.0,0.2333901192504259,0.766609880749574,0,1
Bjorkman J.,Luczak P.,['p1'],['U'],['UW'],['2007-05-29'],['2007-05-29'],nan,1.0,0.3137968693119767,0.6862031306880233,1,0
Bjorkman J.,Jenkins S.,['p1'],['N'],[],['2006-08-31'],['2006-08-31'],nan,1.0,0.6399844380683752,0.36001556193162476,1,0
Bjorkman J.,Bracciali D.,['p1'],['U'],['UW'],['2006-06-30'],['2006-06-30'],nan,1.0,0.40530649588289114,0.5946935041171088,1,0
Bjorkman J.,Lee H.T.,['p2'],['N'],[],['2008-05-26'],['2008-05-26'],nan,1.0,0.27570289550986155,0.7242971044901384,0,1
Bjorkman J.,Hernandez O.,['p1'],['U'],['UW'],['2007-06-02'],['2007-06-02'],nan,1.0,0.2104063672381754,0.7895936327618246,1,0
Arthurs W.,Bjorkman J.,['p2'],['N'],[],['2007-07-02'],['2007-07-02'],nan,1.0,0.30112778616463903,0.6988722138353609,0,1
Bjorkman J.,Clement A.,['p2'],['N'],[],['2008-06-24'],['2008-06-24'],nan,1.0,0.4008631632394009,0.5991368367605991,0,1
Bjorkman J.,Johansson T.,['p1'],['U'],['UW'],['2006-06-27'],['2006-06-27'],nan,1.0,0.39180698668007036,0.6081930133199296,1,0
Bjorkman J.,Karlovic I.,['p1'],['U'],['UW'],['2007-05-31'],['2007-05-31'],nan,1.0,0.33584905660377357,0.6641509433962264,1,0
Bjorkman J.,Spadea V.,['p2'],['N'],[],['2006-09-01'],['2006-09-01'],nan,1.0,0.38327091136079894,0.616729088639201,0,1
Bjorkman J.,Stepanek R.,['p1'],['U'],['UW'],['2006-07-05'],['2006-07-05'],nan,1.0,0.37325427549370316,0.6267457245062967,1,0
Berdych T.,Bjorkman J.,['p1'],['N'],[],['2007-07-05'],['2007-07-05'],nan,1.0,0.7614290616540207,0.23857093834597934,1,0
