player1,player2,match_results,results_set,upset_results,results_set_with_dates,upset_results_set_with_dates,or,p_value_fisher,expected_wins_p1,expected_wins_p2,actual_wins_p1,actual_wins_p2
Lammer M.,Sabau R.,['p2'],['N'],[],['2005-07-05'],['2005-07-05'],nan,1.0,0.4429347826086957,0.5570652173913043,0,1
Sabau R.,Vik R.,['p1'],['U'],['UW'],['2006-06-12'],['2006-06-12'],nan,1.0,0.44421184844044376,0.5557881515595562,1,0
Calleri A.,Sabau R.,['p1'],['N'],[],['2005-10-26'],['2005-10-26'],nan,1.0,0.8152434540746187,0.18475654592538127,1,0
Sabau R.,Sanguinetti D.,['p2'],['U'],['UL'],['2005-09-12'],['2005-09-12'],nan,1.0,0.5297308796936495,0.4702691203063504,0,1
Sabau R.,Wawrinka S.,['p2'],['N'],[],['2005-07-09'],['2005-07-09'],nan,1.0,0.28184165232358005,0.71815834767642,0,1
Sabau R.,Starace P.,"['p1', 'p1']","['U', 'U']","['UW', 'UW']","['2005-07-08', '2006-02-27']","['2005-07-08', '2006-02-27']",0.0,0.3333333333333333,0.4943756486238174,1.505624351376183,2,0
Almagro N.,Sabau R.,['p1'],['N'],[],['2005-07-26'],['2005-07-26'],nan,1.0,0.6281706953148314,0.3718293046851686,1,0
Goldstein P.,Sabau R.,['p1'],['N'],[],['2006-07-18'],['2006-07-18'],nan,1.0,0.6603057058767683,0.33969429412323177,1,0
Sabau R.,Zabaleta M.,['p1'],['U'],['UW'],['2005-09-26'],['2005-09-26'],nan,1.0,0.3387876178173293,0.6612123821826708,1,0
Sabau R.,Seppi A.,"['p2', 'p2']","['N', 'N']",[],"['2005-09-29', '2005-10-04']","['2005-09-29', '2005-10-04']",nan,1.0,0.5925554825943251,1.4074445174056747,0,2
Hernandez O.,Sabau R.,['p2'],['N'],[],['2005-08-01'],['2005-08-01'],nan,1.0,0.38162988286159566,0.6183701171384043,0,1
Berlocq C.,Sabau R.,['p2'],['N'],[],['2005-07-19'],['2005-07-19'],nan,1.0,0.48834598524537576,0.5116540147546241,0,1
Monfils G.,Sabau R.,['p1'],['N'],[],['2006-05-02'],['2006-05-02'],nan,1.0,0.7500198208197891,0.24998017918021093,1,0
Marin J.A.,Sabau R.,['p1'],['N'],[],['2006-02-15'],['2006-02-15'],nan,1.0,0.6882149990920646,0.3117850009079354,1,0
Novak J.,Sabau R.,['p1'],['N'],[],['2005-07-20'],['2005-07-20'],nan,1.0,0.6143472560404569,0.3856527439595429,1,0
Gaudio G.,Sabau R.,['p1'],['N'],[],['2006-03-02'],['2006-03-02'],nan,1.0,0.8636518191091466,0.13634818089085343,1,0
Sabau R.,Volandri F.,['p2'],['N'],[],['2005-10-11'],['2005-10-11'],nan,1.0,0.42484342379958245,0.5751565762004176,0,1
Muller G.,Sabau R.,['p1'],['N'],[],['2006-01-03'],['2006-01-03'],nan,1.0,0.7698054009636573,0.23019459903634254,1,0
Ljubicic I.,Sabau R.,['p1'],['N'],[],['2006-06-14'],['2006-06-14'],nan,1.0,0.8476645147290186,0.1523354852709814,1,0
Patience O.,Sabau R.,['p1'],['N'],[],['2006-02-21'],['2006-02-21'],nan,1.0,0.6594569178323734,0.34054308216762663,1,0
Sabau R.,Vassallo-Arguello M.,['p2'],['N'],[],['2006-09-11'],['2006-09-11'],nan,1.0,0.3551701214721702,0.6448298785278298,0,1
Roitman S.,Sabau R.,['p1'],['N'],[],['2006-07-24'],['2006-07-24'],nan,1.0,0.6853369763205829,0.31466302367941706,1,0
Johansson J.,Vanek J.,['p2'],['U'],['UL'],['2005-07-05'],['2005-07-05'],nan,1.0,0.5131347578195768,0.48686524218042304,0,1
Saulnier C.,Vanek J.,['p1'],['N'],[],['2005-09-29'],['2005-09-29'],nan,1.0,0.6380227479133331,0.3619772520866669,1,0
Monaco J.,Vanek J.,"['p1', 'p1']","['N', 'N']",[],"['2007-02-12', '2008-05-22']","['2007-02-12', '2008-05-22']",nan,1.0,1.5456948617640291,0.45430513823597096,2,0
Behrend T.,Vanek J.,['p1'],['U'],['UW'],['2006-02-27'],['2006-02-27'],nan,1.0,0.47051044697170064,0.5294895530282994,1,0
Dlouhy L.,Vanek J.,"['p2', 'p2']","['U', 'U']","['UL', 'UL']","['2005-10-04', '2006-07-27']","['2005-10-04', '2006-07-27']",inf,0.3333333333333333,1.2024930879084974,0.7975069120915026,0,2
Bjorkman J.,Vanek J.,['p1'],['N'],[],['2006-06-21'],['2006-06-21'],nan,1.0,0.6315478825438985,0.36845211745610146,1,0
Vanek J.,Wawrinka S.,['p2'],['N'],[],['2007-07-20'],['2007-07-20'],nan,1.0,0.18910152448913398,0.8108984755108661,0,1
Starace P.,Vanek J.,['p1'],['N'],[],['2008-08-18'],['2008-08-18'],nan,1.0,0.6914584543869843,0.30854154561301567,1,0
Almagro N.,Vanek J.,['p1'],['N'],[],['2008-02-26'],['2008-02-26'],nan,1.0,0.765582347588717,0.23441765241128296,1,0
Serra F.,Vanek J.,"['p2', 'p2']","['U', 'U']","['UL', 'UL']","['2005-07-07', '2007-07-11']","['2005-07-07', '2007-07-11']",inf,0.3333333333333333,1.305916376867759,0.6940836231322407,0,2
Vanek J.,di Mauro A.,['p1'],['N'],[],['2006-08-01'],['2006-08-01'],nan,1.0,0.6535697172975563,0.3464302827024437,1,0
Vanek J.,Waske A.,['p2'],['U'],['UL'],['2006-04-11'],['2006-04-11'],nan,1.0,0.6025868627948263,0.39741313720517374,0,1
Martin A.,Vanek J.,['p1'],['N'],[],['2006-02-23'],['2006-02-23'],nan,1.0,0.6448699421965318,0.3551300578034682,1,0
Hernandez O.,Vanek J.,['p2'],['U'],['UL'],['2005-07-08'],['2005-07-08'],nan,1.0,0.553470423428662,0.44652957657133796,0,1
Vanek J.,Youzhny M.,['p2'],['N'],[],['2007-12-31'],['2007-12-31'],nan,1.0,0.16080731019955022,0.8391926898004498,0,1
Berdych T.,Vanek J.,"['p1', 'p1']","['N', 'N']",[],"['2005-07-09', '2007-10-03']","['2005-07-09', '2007-10-03']",nan,1.0,1.6141096978374887,0.3858903021625112,2,0
Massu N.,Vanek J.,['p1'],['N'],[],['2005-07-20'],['2005-07-20'],nan,1.0,0.7780673101625867,0.22193268983741327,1,0
Vanek J.,Ventura S.,['p1'],['N'],[],['2006-07-24'],['2006-07-24'],nan,1.0,0.7065217391304348,0.29347826086956524,1,0
Norman D.,Vanek J.,['p2'],['N'],[],['2005-07-18'],['2005-07-18'],nan,1.0,0.3323856905946458,0.6676143094053543,0,1
Phau B.,Vanek J.,['p1'],['U'],['UW'],['2006-04-28'],['2006-04-28'],nan,1.0,0.4092395748160262,0.5907604251839739,1,0
Berlocq C.,Vanek J.,['p2'],['U'],['UL'],['2008-02-18'],['2008-02-18'],nan,1.0,0.6573990175974057,0.3426009824025943,0,1
Monfils G.,Vanek J.,"['p1', 'p2']","['N', 'U']",['UL'],"['2007-07-12', '2007-07-18']","['2007-07-12', '2007-07-18']",inf,1.0,1.6872554655398737,0.3127445344601261,1,1
Andreev I.,Vanek J.,['p1'],['N'],[],['2008-02-21'],['2008-02-21'],nan,1.0,0.7884988534133004,0.21150114658669963,1,0
Melzer J.,Vanek J.,['p2'],['U'],['UL'],['2006-04-26'],['2006-04-26'],nan,1.0,0.6374969445123442,0.3625030554876558,0,1
Mathieu P.H.,Vanek J.,['p2'],['U'],['UL'],['2006-06-20'],['2006-06-20'],nan,1.0,0.7703259647808168,0.22967403521918323,0,1
Portas A.,Vanek J.,['p1'],['U'],['UW'],['2005-07-25'],['2005-07-25'],nan,1.0,0.3932767126074353,0.6067232873925648,1,0
Montanes A.,Vanek J.,['p2'],['U'],['UL'],['2006-02-20'],['2006-02-20'],nan,1.0,0.6342660775650467,0.36573392243495334,0,1
Karlovic I.,Vanek J.,['p1'],['N'],[],['2007-01-30'],['2007-01-30'],nan,1.0,0.7359360843423113,0.26406391565768883,1,0
Djokovic N.,Vanek J.,['p1'],['N'],[],['2006-07-29'],['2006-07-29'],nan,1.0,0.8449304174950298,0.1550695825049702,1,0
Pavel A.,Vanek J.,['p1'],['N'],[],['2005-10-24'],['2005-10-24'],nan,1.0,0.6611214685214399,0.3388785314785602,1,0
Vanek J.,Volandri F.,['p1'],['U'],['UW'],['2006-02-22'],['2006-02-22'],nan,1.0,0.3130013141795441,0.6869986858204559,1,0
Acasuso J.,Vanek J.,"['p1', 'p1']","['N', 'N']",[],"['2005-08-01', '2007-03-01']","['2005-08-01', '2007-03-01']",nan,1.0,1.453011402482816,0.546988597517184,2,0
Gonzalez F.,Vanek J.,['p1'],['N'],[],['2007-10-10'],['2007-10-10'],nan,1.0,0.8745660726683638,0.12543392733163622,1,0
Davydenko N.,Vanek J.,"['p1', 'p1']","['N', 'N']",[],"['2006-10-10', '2008-06-11']","['2006-10-10', '2008-06-11']",nan,1.0,1.7969654744114143,0.2030345255885857,2,0
Karanusic R.,Vanek J.,['p2'],['U'],['UL'],['2007-10-08'],['2007-10-08'],nan,1.0,0.5643019112406867,0.43569808875931315,0,1
Coria G.,Vanek J.,['p1'],['N'],[],['2006-02-14'],['2006-02-14'],nan,1.0,0.8873325341241298,0.11266746587587018,1,0
Lu Y.H.,Vanek J.,['p1'],['N'],[],['2007-09-25'],['2007-09-25'],nan,1.0,0.6006583945302608,0.3993416054697392,1,0
Amritraj P.,Vanek J.,['p2'],['N'],[],['2005-09-28'],['2005-09-28'],nan,1.0,0.3270918665886483,0.6729081334113517,0,1
Gremelmayr D.,Vanek J.,['p1'],['U'],['UW'],['2008-04-18'],['2008-04-18'],nan,1.0,0.4974375400384368,0.5025624599615631,1,0
Stepanek R.,Vanek J.,['p1'],['N'],[],['2005-10-06'],['2005-10-06'],nan,1.0,0.773414797705089,0.22658520229491094,1,0
Ljubicic I.,Vanek J.,['p1'],['N'],[],['2006-01-05'],['2006-01-05'],nan,1.0,0.872722195070865,0.12727780492913496,1,0
Berrer M.,Vanek J.,['p2'],['N'],[],['2008-04-17'],['2008-04-17'],nan,1.0,0.4121882231936231,0.587811776806377,0,1
Fognini F.,Vanek J.,['p1'],['N'],[],['2008-02-11'],['2008-02-11'],nan,1.0,0.6883434471515262,0.31165655284847393,1,0
Fish M.,Vanek J.,['p1'],['N'],[],['2006-10-24'],['2006-10-24'],nan,1.0,0.8118581670218948,0.18814183297810502,1,0
Vanek J.,Vassallo-Arguello M.,['p1'],['U'],['UW'],['2007-02-27'],['2007-02-27'],nan,1.0,0.3182549533397692,0.6817450466602307,1,0
Przysiezny M.,Vanek J.,['p1'],['U'],['UW'],['2006-08-03'],['2006-08-03'],nan,1.0,0.2640959303519363,0.7359040696480638,1,0
Cipolla F.,Vanek J.,['p1'],['U'],['UW'],['2008-07-08'],['2008-07-08'],nan,1.0,0.40809331355195166,0.5919066864480483,1,0
Troicki V.,Vanek J.,['p1'],['N'],[],['2008-07-15'],['2008-07-15'],nan,1.0,0.6191542288557215,0.38084577114427864,1,0
Canas G.,Vanek J.,['p1'],['N'],[],['2007-04-25'],['2007-04-25'],nan,1.0,0.8936475654982654,0.10635243450173465,1,0
