player1,player2,match_results,results_set,upset_results,results_set_with_dates,upset_results_set_with_dates,or,p_value_fisher,expected_wins_p1,expected_wins_p2,actual_wins_p1,actual_wins_p2
Erakovic M.,Tu M.,['p1'],['U'],['UW'],['01/01/2007'],['01/01/2007'],nan,1.0,0.5,0.5,1,0
Peer S.,Tu M.,['p1'],['N'],[],['17/01/2007'],['17/01/2007'],nan,1.0,0.6492258516495165,0.35077414835048354,1,0
Safarova L.,Tu M.,['p1'],['N'],[],['31/07/2007'],['31/07/2007'],nan,1.0,0.7055493632700628,0.2944506367299372,1,0
Dechy N.,Tu M.,['p1'],['N'],[],['23/08/2007'],['23/08/2007'],nan,1.0,0.25196454528225676,0.7480354547177432,1,0
Harkleroad A.,Tu M.,['p1'],['N'],[],['08/01/2008'],['08/01/2008'],nan,1.0,0.5500680254667726,0.4499319745332274,1,0
Srebotnik K.,Tu M.,['p2'],['U'],['UL'],['08/05/2007'],['08/05/2007'],nan,1.0,0.38360926865721123,0.6163907313427888,0,1
Kirilenko M.,Tu M.,['p1'],['N'],[],['15/01/2008'],['15/01/2008'],nan,1.0,0.7840095233141215,0.21599047668587845,1,0
Schnyder P.,Tu M.,['p1'],['N'],[],['16/05/2007'],['16/05/2007'],nan,1.0,0.5166379936939521,0.48336200630604775,1,0
Tu M.,Vinci R.,"['p1', 'p1']","['N', 'N']",[],"['15/05/2007', '22/08/2007']","['15/05/2007', '22/08/2007']",nan,1.0,1.0002668904603236,0.9997331095396766,2,0
Arvidsson S.,Tu M.,"['p1', 'p1']","['U', 'N']",['UW'],"['31/10/2007', '12/02/2008']","['31/10/2007', '12/02/2008']",nan,1.0,1.1233033954355667,0.8766966045644333,2,0
Garbin T.,Tu M.,['p1'],['N'],[],['05/02/2008'],['05/02/2008'],nan,1.0,0.8168610067730905,0.18313899322690952,1,0
Makarova E.,Tu M.,['p1'],['N'],[],['12/03/2008'],['12/03/2008'],nan,1.0,0.7146742279089532,0.28532577209104687,1,0
Loit E.,Tu M.,['p2'],['N'],[],['07/01/2008'],['07/01/2008'],nan,1.0,0.492634216240126,0.507365783759874,0,1
Bartoli M.,Morita A.,"['p1', 'p1', 'p1', 'p1', 'p1', 'p1']","['N', 'N', 'N', 'N', 'N', 'N']",[],"['01/01/2007', '28/07/2009', '25/03/2011', '26/09/2011', '15/10/2011', '02/10/2012']","['01/01/2007', '28/07/2009', '25/03/2011', '26/09/2011', '15/10/2011', '02/10/2012']",0.0,0.45454545454545453,4.67330509014717,1.3266949098528298,6,0
Bartoli M.,Razzano V.,"['p1', 'p1', 'p2', 'p1']","['N', 'N', 'U', 'N']",['UL'],"['08/02/2008', '14/05/2008', '01/09/2010', '17/01/2012']","['08/02/2008', '14/05/2008', '01/09/2010', '17/01/2012']",0.6666666666666666,1.0,2.7738039470947644,1.2261960529052356,3,1
Bartoli M.,Zvonareva V.,"['p2', 'p2', 'p2', 'p2', 'p1', 'p2']","['N', 'N', 'N', 'N', 'U', 'N']",['UW'],"['17/04/2008', '02/10/2008', '25/10/2008', '27/01/2009', '09/10/2009', '28/03/2011']","['17/04/2008', '02/10/2008', '25/10/2008', '27/01/2009', '09/10/2009', '28/03/2011']",1.25,1.0,1.9892318122330312,4.010768187766969,1,5
