player1,player2,match_results,results_set,upset_results,results_set_with_dates,upset_results_set_with_dates,or,p_value_fisher,expected_wins_p1,expected_wins_p2,actual_wins_p1,actual_wins_p2
Jankovic J.,Wozniak A.,"['p1', 'p1']","['N', 'N']",[],"['15/01/2007', '23/06/2010']","['15/01/2007', '23/06/2010']",nan,1.0,1.5588780126654074,0.4411219873345926,2,0
Cornet A.,Jankovic J.,['p2'],['N'],[],['31/08/2007'],['31/08/2007'],nan,1.0,0.1241745078369696,0.8758254921630304,0,1
Jankovic J.,Safarova L.,['p1'],['N'],[],['29/06/2007'],['29/06/2007'],nan,1.0,0.733661998960991,0.2663380010390089,1,0
Jankovic J.,Peng S.,['p2'],['U'],['UL'],['20/01/2011'],['20/01/2011'],nan,1.0,0.5179946479117842,0.48200535208821593,0,1
Jankovic J.,Williams S.,"['p2', 'p1', 'p2']","['U', 'U', 'N']","['UL', 'UW']","['21/01/2007', '22/01/2008', '07/09/2008']","['21/01/2007', '22/01/2008', '07/09/2008']",2.0,1.0,1.1928185416063004,1.8071814583936996,1,2
Dementieva E.,Jankovic J.,['p2'],['U'],['UL'],['05/09/2008'],['05/09/2008'],nan,1.0,0.4538441578544304,0.5461558421455697,0,1
Jankovic J.,Li N.,['p2'],['N'],[],['02/09/2013'],['02/09/2013'],nan,1.0,0.27943675888388736,0.7205632411161126,0,1
Hantuchova D.,Jankovic J.,"['p2', 'p2']","['N', 'N']",[],"['31/05/2010', '28/05/2013']","['31/05/2010', '28/05/2013']",nan,1.0,0.6267064124579187,1.3732935875420815,0,2
Jankovic J.,Vinci R.,['p1'],['N'],[],['01/09/2009'],['01/09/2009'],nan,1.0,0.8513804050337955,0.1486195949662045,1,0
Jankovic J.,Lepchenko V.,['p2'],['U'],['UL'],['31/05/2012'],['31/05/2012'],nan,1.0,0.6355262616989349,0.36447373830106516,0,1
Bacsinszky T.,Jankovic J.,['p1'],['N'],[],['20/01/2015'],['20/01/2015'],nan,1.0,0.32514211244755226,0.6748578875524478,1,0
Arvidsson S.,Jankovic J.,['p2'],['N'],[],['27/08/2008'],['27/08/2008'],nan,1.0,0.08579318238302641,0.9142068176169736,0,1
Gallovits E.,Jankovic J.,['p2'],['N'],[],['16/01/2008'],['16/01/2008'],nan,1.0,0.26230786076364304,0.7376921392363569,0,1
Jankovic J.,Stosur S.,"['p2', 'p1']","['N', 'U']",['UW'],"['03/06/2010', '01/06/2013']","['03/06/2010', '01/06/2013']",0.0,1.0,0.7284097948546158,1.271590205145384,1,1
Jankovic J.,Schiavone F.,['p2'],['U'],['UL'],['29/05/2011'],['29/05/2011'],nan,1.0,0.4888659861086099,0.5111340138913901,0,1
Bartoli M.,Jankovic J.,"['p2', 'p1', 'p1']","['N', 'U', 'U']","['UW', 'UW']","['03/06/2007', '03/07/2007', '25/01/2009']","['03/06/2007', '03/07/2007', '25/01/2009']",0.0,0.4000000000000001,0.7082588667678202,2.2917411332321795,2,1
Jankovic J.,Williams V.,"['p1', 'p2']","['N', 'N']",[],"['01/06/2007', '06/09/2007']","['01/06/2007', '06/09/2007']",inf,1.0,1.0883963158693248,0.9116036841306754,1,1
Jankovic J.,Sugiyama A.,['p1'],['N'],[],['23/01/2009'],['23/01/2009'],nan,1.0,0.8921219157521091,0.10787808424789096,1,0
