player1,player2,match_results,results_set,upset_results,results_set_with_dates,upset_results_set_with_dates,or,p_value_fisher,expected_wins_p1,expected_wins_p2,actual_wins_p1,actual_wins_p2
Jankovic J.,Wozniak A.,"['p1', 'p1']","['N', 'N']",[],"['15/01/2007', '23/06/2010']","['15/01/2007', '23/06/2010']",nan,1.0,1.7424851597090094,0.25751484029099064,2,0
Cornet A.,Jankovic J.,['p2'],['N'],[],['31/08/2007'],['31/08/2007'],nan,1.0,0.07961343764381039,0.9203865623561895,0,1
Jankovic J.,Safarova L.,['p1'],['N'],[],['29/06/2007'],['29/06/2007'],nan,1.0,0.8747975005785698,0.12520249942143025,1,0
Jankovic J.,Peng S.,['p2'],['U'],['UL'],['20/01/2011'],['20/01/2011'],nan,1.0,0.6010230179028133,0.39897698209718674,0,1
Jankovic J.,Williams S.,"['p2', 'p1', 'p2']","['U', 'U', 'N']","['UL', 'UW']","['21/01/2007', '22/01/2008', '07/09/2008']","['21/01/2007', '22/01/2008', '07/09/2008']",2.0,1.0,1.154102671695905,1.845897328304095,1,2
Dementieva E.,Jankovic J.,['p2'],['U'],['UL'],['05/09/2008'],['05/09/2008'],nan,1.0,0.5988357377879017,0.40116426221209817,0,1
Jankovic J.,Li N.,['p2'],['N'],[],['02/09/2013'],['02/09/2013'],nan,1.0,0.30561797752808995,0.69438202247191,0,1
Hantuchova D.,Jankovic J.,"['p2', 'p2']","['N', 'N']",[],"['31/05/2010', '28/05/2013']","['31/05/2010', '28/05/2013']",nan,1.0,0.5870749229463273,1.4129250770536725,0,2
Jankovic J.,Vinci R.,['p1'],['N'],[],['01/09/2009'],['01/09/2009'],nan,1.0,0.8589511754068715,0.14104882459312837,1,0
Jankovic J.,Lepchenko V.,['p2'],['U'],['UL'],['31/05/2012'],['31/05/2012'],nan,1.0,0.6381418092909535,0.3618581907090465,0,1
Bacsinszky T.,Jankovic J.,['p1'],['N'],[],['20/01/2015'],['20/01/2015'],nan,1.0,0.556135770234987,0.44386422976501305,1,0
Arvidsson S.,Jankovic J.,['p2'],['N'],[],['27/08/2008'],['27/08/2008'],nan,1.0,0.1181568842567197,0.8818431157432803,0,1
Gallovits E.,Jankovic J.,['p2'],['N'],[],['16/01/2008'],['16/01/2008'],nan,1.0,0.12799568105532474,0.8720043189446753,0,1
Jankovic J.,Stosur S.,"['p2', 'p1']","['N', 'U']",['UW'],"['03/06/2010', '01/06/2013']","['03/06/2010', '01/06/2013']",0.0,1.0,0.8974548826300683,1.1025451173699317,1,1
Jankovic J.,Schiavone F.,['p2'],['U'],['UL'],['29/05/2011'],['29/05/2011'],nan,1.0,0.5714285714285715,0.4285714285714286,0,1
Bartoli M.,Jankovic J.,"['p2', 'p1', 'p1']","['N', 'U', 'U']","['UW', 'UW']","['03/06/2007', '03/07/2007', '25/01/2009']","['03/06/2007', '03/07/2007', '25/01/2009']",0.0,0.4000000000000001,0.48016852053214504,2.519831479467855,2,1
Jankovic J.,Williams V.,"['p1', 'p2']","['N', 'N']",[],"['01/06/2007', '06/09/2007']","['01/06/2007', '06/09/2007']",0.0,1.0,0.9786228069523866,1.0213771930476134,1,1
Jankovic J.,Sugiyama A.,['p1'],['N'],[],['23/01/2009'],['23/01/2009'],nan,1.0,0.8873988931460196,0.11260110685398043,1,0
Bammer S.,Jankovic J.,"['p2', 'p2']","['N', 'N']",[],"['02/09/2007', '02/09/2008']","['02/09/2007', '02/09/2008']",nan,1.0,0.37341631094731026,1.6265836890526897,0,2
Jankovic J.,Vaidisova N.,['p1'],['N'],[],['05/06/2007'],['05/06/2007'],nan,1.0,0.7377383086198469,0.2622616913801532,1,0
Ivanovic A.,Jankovic J.,"['p1', 'p1']","['N', 'N']",[],"['05/06/2008', '18/01/2013']","['05/06/2008', '18/01/2013']",nan,1.0,1.3678911349932728,0.6321088650067272,2,0
Jankovic J.,Tanasugarn T.,['p2'],['U'],['UL'],['30/06/2008'],['30/06/2008'],nan,1.0,0.7461732144998202,0.2538267855001799,0,1
Jankovic J.,Shvedova Y.,"['p2', 'p1']","['U', 'N']",['UL'],"['03/09/2009', '02/06/2010']","['03/09/2009', '02/06/2010']",inf,1.0,1.6450346523120505,0.3549653476879493,1,1
Jankovic J.,Kuznetsova S.,['p2'],['N'],[],['20/01/2017'],['20/01/2017'],nan,1.0,0.3444976076555024,0.6555023923444976,0,1
Goerges J.,Jankovic J.,"['p2', 'p2']","['N', 'U']",['UL'],"['23/06/2009', '18/01/2017']","['23/06/2009', '18/01/2017']",nan,1.0,0.7284398224797308,1.2715601775202692,0,2
Cetkovska P.,Jankovic J.,['p2'],['N'],[],['26/05/2009'],['26/05/2009'],nan,1.0,0.09577412806790919,0.9042258719320908,0,1
Dellacqua C.,Jankovic J.,['p2'],['N'],[],['20/01/2008'],['20/01/2008'],nan,1.0,0.21930839904506977,0.7806916009549302,0,1
Bondarenko A.,Jankovic J.,"['p1', 'p2', 'p2', 'p2']","['U', 'N', 'N', 'N']",['UW'],"['22/01/2010', '29/05/2010', '25/06/2010', '22/05/2011']","['22/01/2010', '29/05/2010', '25/06/2010', '22/05/2011']",0.0,1.0,0.8894924527656598,3.11050754723434,1,3
Cibulkova D.,Jankovic J.,['p2'],['N'],[],['31/05/2008'],['31/05/2008'],nan,1.0,0.2770372869917328,0.7229627130082673,0,1
Jankovic J.,Paszek T.,['p1'],['N'],[],['14/01/2008'],['14/01/2008'],nan,1.0,0.7769365810840464,0.22306341891595347,1,0
Jankovic J.,Vesnina E.,['p1'],['N'],[],['30/06/2015'],['30/06/2015'],nan,1.0,0.7028824833702882,0.29711751662971175,1,0
Jankovic J.,Kanepi K.,"['p1', 'p2']","['N', 'U']",['UL'],"['27/05/2010', '04/09/2010']","['27/05/2010', '04/09/2010']",inf,1.0,1.331982411527866,0.668017588472134,1,1
Bondarenko K.,Jankovic J.,['p2'],['N'],[],['28/08/2012'],['28/08/2012'],nan,1.0,0.2769556025369979,0.7230443974630022,0,1
Jankovic J.,Kleybanova A.,['p1'],['N'],[],['29/08/2013'],['29/08/2013'],nan,1.0,0.7728119180633148,0.22718808193668527,1,0
Jankovic J.,Kudryavtseva A.,['p1'],['N'],[],['18/01/2011'],['18/01/2011'],nan,1.0,0.6713947990543735,0.32860520094562645,1,0
Jankovic J.,Savchuk O.,['p1'],['N'],[],['24/06/2008'],['24/06/2008'],nan,1.0,0.9213759213759214,0.07862407862407862,1,0
Cirstea S.,Jankovic J.,"['p1', 'p2']","['U', 'N']",['UW'],"['01/06/2009', '31/05/2014']","['01/06/2009', '31/05/2014']",0.0,1.0,0.39474923806292106,1.6052507619370788,1,1
Jankovic J.,Wozniacki C.,"['p1', 'p1', 'p2']","['N', 'N', 'N']",[],"['28/06/2008', '31/08/2008', '22/01/2012']","['28/06/2008', '31/08/2008', '22/01/2012']",0.5,1.0,1.6425729497264139,1.3574270502735861,2,1
Jankovic J.,Meusburger Y.,['p1'],['N'],[],['19/01/2009'],['19/01/2009'],nan,1.0,0.9324009324009325,0.06759906759906759,1,0
