player1,player2,match_results,results_set,upset_results,results_set_with_dates,upset_results_set_with_dates,or,p_value_fisher,expected_wins_p1,expected_wins_p2,actual_wins_p1,actual_wins_p2
Erakovic M.,Tu M.,['p1'],['U'],['UW'],['01/01/2007'],['01/01/2007'],nan,1.0,0.36039360393603936,0.6396063960639606,1,0
Safarova L.,Tu M.,['p1'],['N'],[],['31/07/2007'],['31/07/2007'],nan,1.0,0.7698353293413174,0.23016467065868265,1,0
Tu M.,Vinci R.,"['p1', 'p1']","['N', 'N']",[],"['15/05/2007', '22/08/2007']","['15/05/2007', '22/08/2007']",nan,1.0,1.0279395527941038,0.9720604472058962,2,0
Srebotnik K.,Tu M.,['p2'],['U'],['UL'],['08/05/2007'],['08/05/2007'],nan,1.0,0.6034569897907611,0.3965430102092388,0,1
Dechy N.,Tu M.,['p1'],['N'],[],['23/08/2007'],['23/08/2007'],nan,1.0,0.6182688472277622,0.38173115277223774,1,0
Schnyder P.,Tu M.,['p1'],['N'],[],['16/05/2007'],['16/05/2007'],nan,1.0,0.8353159635582894,0.16468403644171067,1,0
Arvidsson S.,Tu M.,"['p1', 'p1']","['U', 'N']",['UW'],"['31/10/2007', '12/02/2008']","['31/10/2007', '12/02/2008']",nan,1.0,1.1030425879484858,0.896957412051514,2,0
Harkleroad A.,Tu M.,['p1'],['N'],[],['08/01/2008'],['08/01/2008'],nan,1.0,0.5822641314989437,0.4177358685010564,1,0
Garbin T.,Tu M.,['p1'],['N'],[],['05/02/2008'],['05/02/2008'],nan,1.0,0.5412248773540117,0.45877512264598824,1,0
Makarova E.,Tu M.,['p1'],['N'],[],['12/03/2008'],['12/03/2008'],nan,1.0,0.6198305929247633,0.38016940707523666,1,0
Loit E.,Tu M.,['p2'],['N'],[],['07/01/2008'],['07/01/2008'],nan,1.0,0.46792193367535834,0.5320780663246416,0,1
Bartoli M.,Morita A.,"['p1', 'p1', 'p1', 'p1', 'p1', 'p1']","['N', 'N', 'N', 'N', 'N', 'N']",[],"['01/01/2007', '28/07/2009', '25/03/2011', '26/09/2011', '15/10/2011', '02/10/2012']","['01/01/2007', '28/07/2009', '25/03/2011', '26/09/2011', '15/10/2011', '02/10/2012']",0.0,0.45454545454545453,4.688421971291203,1.3115780287087968,6,0
Bartoli M.,Razzano V.,"['p1', 'p1']","['N', 'N']",[],"['08/02/2008', '14/05/2008']","['08/02/2008', '14/05/2008']",nan,1.0,1.1871517772962932,0.812848222703707,2,0
Bartoli M.,Zvonareva V.,"['p2', 'p2', 'p2', 'p1', 'p2']","['N', 'N', 'N', 'U', 'N']",['UW'],"['17/04/2008', '02/10/2008', '25/10/2008', '09/10/2009', '28/03/2011']","['17/04/2008', '02/10/2008', '25/10/2008', '09/10/2009', '28/03/2011']",1.3333333333333333,1.0,1.545491507742931,3.454508492257069,1,4
Bartoli M.,Peng S.,"['p1', 'p1', 'p1', 'p1', 'p2', 'p1', 'p2']","['N', 'N', 'N', 'U', 'U', 'N', 'U']","['UW', 'UL', 'UL']","['16/10/2007', '03/05/2009', '24/02/2011', '28/09/2011', '21/02/2012', '09/08/2012', '30/04/2013']","['16/10/2007', '03/05/2009', '24/02/2011', '28/09/2011', '21/02/2012', '09/08/2012', '30/04/2013']",0.8,1.0,4.169803529930624,2.8301964700693767,5,2
Bartoli M.,Stosur S.,"['p1', 'p2', 'p1', 'p1']","['U', 'N', 'U', 'N']","['UW', 'UW']","['02/08/2009', '28/04/2010', '18/06/2011', '16/10/2011']","['02/08/2009', '28/04/2010', '18/06/2011', '16/10/2011']",0.16666666666666666,0.48571428571428565,1.6733110255359762,2.326688974464024,3,1
Bartoli M.,Bremond S.,['p2'],['U'],['UL'],['30/01/2007'],['30/01/2007'],nan,1.0,0.7257928475033738,0.2742071524966262,0,1
Bartoli M.,Sugiyama A.,"['p1', 'p1', 'p1', 'p1']","['N', 'N', 'N', 'N']",[],"['20/07/2008', '01/08/2008', '21/10/2008', '16/02/2009']","['20/07/2008', '01/08/2008', '21/10/2008', '16/02/2009']",0.0,0.4285714285714286,2.5315693314737335,1.4684306685262665,4,0
Bartoli M.,Fedak Y.,['p2'],['U'],['UL'],['08/01/2007'],['08/01/2007'],nan,1.0,0.7357474618767726,0.26425253812322747,0,1
Bartoli M.,Dushevina V.,"['p1', 'p1']","['N', 'N']",[],"['14/06/2010', '04/04/2012']","['14/06/2010', '04/04/2012']",nan,1.0,1.3386064057501024,0.6613935942498979,2,0
Bartoli M.,Peer S.,"['p2', 'p1']","['U', 'U']","['UL', 'UW']","['13/03/2009', '23/02/2011']","['13/03/2009', '23/02/2011']",inf,1.0,1.0457436284789843,0.954256371521016,1,1
Bartoli M.,Safarova L.,"['p1', 'p2', 'p1', 'p1', 'p1', 'p1']","['N', 'U', 'N', 'N', 'N', 'N']",['UL'],"['06/05/2008', '04/03/2011', '14/06/2011', '17/02/2012', '14/03/2012', '21/06/2012']","['06/05/2008', '04/03/2011', '14/06/2011', '17/02/2012', '14/03/2012', '21/06/2012']",0.3,0.5454545454545454,3.937929087472503,2.0620709125274965,5,1
Bartoli M.,Ivanovic A.,"['p2', 'p1', 'p1', 'p2', 'p1', 'p2']","['N', 'N', 'U', 'U', 'U', 'U']","['UW', 'UL', 'UW', 'UL']","['16/10/2008', '30/07/2010', '28/09/2010', '04/10/2010', '16/03/2011', '15/03/2012']","['16/10/2008', '30/07/2010', '28/09/2010', '04/10/2010', '16/03/2011', '15/03/2012']",0.6666666666666666,1.0,2.836723000907019,3.163276999092981,3,3
Bartoli M.,Jankovic J.,"['p1', 'p2']","['U', 'N']",['UW'],"['31/07/2009', '01/10/2009']","['31/07/2009', '01/10/2009']",0.0,1.0,0.7212169444430274,1.2787830555569726,1,1
Bartoli M.,Vaidisova N.,['p2'],['N'],[],['13/03/2007'],['13/03/2007'],nan,1.0,0.18854260959524122,0.8114573904047588,0,1
Bartoli M.,Vinci R.,['p1'],['N'],[],['10/02/2012'],['10/02/2012'],nan,1.0,0.7539370078740157,0.24606299212598423,1,0
Bartoli M.,Perry S.,['p1'],['N'],[],['09/04/2007'],['09/04/2007'],nan,1.0,0.6774879763226046,0.3225120236773955,1,0
Bartoli M.,Kirilenko M.,"['p2', 'p1', 'p1']","['U', 'N', 'N']",['UL'],"['08/08/2007', '16/09/2008', '26/03/2012']","['08/08/2007', '16/09/2008', '26/03/2012']",0.5,1.0,1.8764969604887596,1.1235030395112404,2,1
Bartoli M.,Schiavone F.,"['p2', 'p2', 'p1', 'p1']","['U', 'U', 'U', 'N']","['UL', 'UL', 'UW']","['08/01/2008', '26/02/2008', '17/02/2009', '12/02/2013']","['08/01/2008', '26/02/2008', '17/02/2009', '12/02/2013']",2.0,1.0,2.3287932973301317,1.6712067026698683,2,2
Bartoli M.,Dementieva E.,"['p1', 'p2', 'p2', 'p2', 'p2']","['U', 'U', 'N', 'N', 'U']","['UW', 'UL', 'UL']","['21/06/2007', '02/08/2007', '23/08/2007', '01/05/2009', '26/08/2010']","['21/06/2007', '02/08/2007', '23/08/2007', '01/05/2009', '26/08/2010']",4.0,0.5238095238095238,2.2508390330371792,2.7491609669628208,1,4
Bartoli M.,Krajicek M.,"['p1', 'p1']","['N', 'N']",[],"['17/10/2007', '04/03/2009']","['17/10/2007', '04/03/2009']",nan,1.0,1.384698042455557,0.6153019575444432,2,0
Bartoli M.,Llagostera Vives N.,"['p1', 'p1']","['N', 'N']",[],"['06/02/2007', '20/09/2011']","['06/02/2007', '20/09/2011']",nan,1.0,1.5886859611406319,0.41131403885936807,2,0
Bartoli M.,Rezai A.,['p1'],['N'],[],['29/09/2009'],['29/09/2009'],nan,1.0,0.7235582038731645,0.2764417961268355,1,0
Bartoli M.,Medina Garrigues A.,"['p1', 'p2', 'p1', 'p2', 'p1', 'p1']","['N', 'U', 'N', 'N', 'U', 'N']","['UL', 'UW']","['18/06/2009', '11/05/2010', '09/08/2010', '11/05/2011', '20/05/2011', '15/02/2012']","['18/06/2009', '11/05/2010', '09/08/2010', '11/05/2011', '20/05/2011', '15/02/2012']",0.75,1.0,3.7232827289475976,2.276717271052402,4,2
Bartoli M.,Chakvetadze A.,"['p1', 'p2', 'p1', 'p1', 'p1']","['U', 'N', 'U', 'U', 'N']","['UW', 'UW', 'UW']","['28/09/2007', '09/02/2008', '19/07/2008', '31/07/2008', '17/06/2009']","['28/09/2007', '09/02/2008', '19/07/2008', '31/07/2008', '17/06/2009']",0.25,0.5238095238095238,2.157842838192197,2.842157161807803,4,1
Bartoli M.,Safina D.,"['p1', 'p1', 'p1']","['U', 'N', 'N']",['UW'],"['12/03/2007', '17/08/2007', '10/01/2011']","['12/03/2007', '17/08/2007', '10/01/2011']",0.0,0.4000000000000001,1.4521008921820848,1.5478991078179152,3,0
Bartoli M.,Schnyder P.,"['p2', 'p2']","['N', 'N']",[],"['27/10/2007', '15/05/2008']","['27/10/2007', '15/05/2008']",nan,1.0,0.8155393120310944,1.184460687968906,0,2
Bartoli M.,Mauresmo A.,['p2'],['N'],[],['25/05/2007'],['25/05/2007'],nan,1.0,0.20665231581140198,0.793347684188598,0,1
Bartoli M.,Granville L.,['p2'],['U'],['UL'],['20/02/2007'],['20/02/2007'],nan,1.0,0.5741181338574531,0.42588186614254675,0,1
Arvidsson S.,Bartoli M.,['p1'],['U'],['UW'],['17/10/2012'],['17/10/2012'],nan,1.0,0.28509719222462204,0.7149028077753781,1,0
Bartoli M.,Hantuchova D.,"['p1', 'p2', 'p2', 'p2']","['U', 'N', 'U', 'U']","['UW', 'UL', 'UL']","['17/06/2007', '29/09/2007', '04/08/2010', '18/08/2011']","['17/06/2007', '29/09/2007', '04/08/2010', '18/08/2011']",1.5,1.0,1.8998640673028262,2.1001359326971736,1,3
Bartoli M.,Kuznetsova S.,"['p1', 'p2', 'p1']","['U', 'N', 'U']","['UW', 'UW']","['29/03/2010', '13/02/2013', '11/03/2013']","['29/03/2010', '13/02/2013', '11/03/2013']",0.5,1.0,1.2200579729205963,1.7799420270794037,2,1
Bartoli M.,Schruff J.,['p2'],['U'],['UL'],['01/03/2007'],['01/03/2007'],nan,1.0,0.5430554095258122,0.45694459047418784,0,1
Bartoli M.,Garbin T.,['p1'],['N'],[],['08/01/2009'],['08/01/2009'],nan,1.0,0.7482938578883983,0.25170614211160175,1,0
Bartoli M.,Li N.,['p1'],['U'],['UW'],['08/03/2009'],['08/03/2009'],nan,1.0,0.47471954915200165,0.5252804508479982,1,0
Bartoli M.,Chan Y.J.,['p1'],['N'],[],['22/07/2012'],['22/07/2012'],nan,1.0,0.7685009487666035,0.2314990512333966,1,0
Bartoli M.,Williams V.,['p2'],['N'],[],['01/04/2010'],['01/04/2010'],nan,1.0,0.22712115598369767,0.7728788440163024,0,1
Bartoli M.,Sharapova M.,"['p2', 'p2']","['N', 'N']",[],"['17/06/2007', '14/08/2010']","['17/06/2007', '14/08/2010']",nan,1.0,0.4144383603968979,1.5855616396031023,0,2
Bartoli M.,Henin J.,"['p2', 'p2']","['N', 'N']",[],"['22/06/2007', '08/11/2007']","['22/06/2007', '08/11/2007']",nan,1.0,0.19535254695998172,1.804647453040018,0,2
Bartoli M.,Ruano Pascual V.,['p1'],['N'],[],['22/08/2007'],['22/08/2007'],nan,1.0,0.7309783736665145,0.2690216263334856,1,0
Bartoli M.,Dominguez Lino L.,['p2'],['N'],[],['11/04/2007'],['11/04/2007'],nan,1.0,0.4382198134347803,0.5617801865652196,0,1
Bartoli M.,Camerin M.E.,['p1'],['N'],[],['01/03/2011'],['01/03/2011'],nan,1.0,0.9011299435028249,0.09887005649717515,1,0
Bartoli M.,Bondarenko A.,"['p1', 'p1', 'p1', 'p2', 'p1', 'p1', 'p1']","['N', 'N', 'N', 'U', 'N', 'N', 'N']",['UL'],"['25/09/2007', '08/10/2007', '24/10/2008', '17/08/2009', '10/08/2010', '24/08/2010', '16/08/2011']","['25/09/2007', '08/10/2007', '24/10/2008', '17/08/2009', '10/08/2010', '24/08/2010', '16/08/2011']",0.3333333333333333,0.5594405594405594,4.772286948608304,2.227713051391696,6,1
Azarenka V.,Bartoli M.,"['p1', 'p1', 'p1', 'p1', 'p1', 'p2', 'p1', 'p2', 'p1']","['N', 'N', 'N', 'N', 'N', 'U', 'N', 'U', 'N']","['UL', 'UL']","['10/01/2009', '18/06/2010', '30/07/2010', '21/08/2010', '29/09/2011', '28/10/2011', '11/01/2012', '29/03/2012', '06/10/2012']","['10/01/2009', '18/06/2010', '30/07/2010', '21/08/2010', '29/09/2011', '28/10/2011', '11/01/2012', '29/03/2012', '06/10/2012']",0.8571428571428571,1.0,6.4372225001367775,2.5627774998632216,7,2
Bartoli M.,Gajdosova J.,['p1'],['N'],[],['11/05/2007'],['11/05/2007'],nan,1.0,0.6346172694305596,0.3653827305694404,1,0
Bartoli M.,Voskoboeva G.,"['p1', 'p2']","['N', 'U']",['UL'],"['13/10/2009', '08/08/2011']","['13/10/2009', '08/08/2011']",inf,1.0,1.706015029903021,0.29398497009697894,1,1
Bartoli M.,Pennetta F.,['p1'],['N'],[],['17/06/2013'],['17/06/2013'],nan,1.0,0.6627078384798101,0.33729216152019004,1,0
Bartoli M.,Tanasugarn T.,['p2'],['U'],['UL'],['16/10/2010'],['16/10/2010'],nan,1.0,0.8246097337006428,0.17539026629935722,0,1
Bartoli M.,Dellacqua C.,['p1'],['N'],[],['15/04/2008'],['15/04/2008'],nan,1.0,0.6531079919793755,0.3468920080206244,1,0
Bartoli M.,Govortsova O.,['p2'],['U'],['UL'],['08/04/2008'],['08/04/2008'],nan,1.0,0.6080272194568711,0.391972780543129,0,1
Bartoli M.,South M.,"['p1', 'p1']","['N', 'N']",[],"['20/06/2007', '28/07/2008']","['20/06/2007', '28/07/2008']",nan,1.0,1.7291076137442238,0.2708923862557761,2,0
Bammer S.,Bartoli M.,['p2'],['N'],[],['18/06/2008'],['18/06/2008'],nan,1.0,0.3790410822640008,0.6209589177359991,0,1
Bartoli M.,Lepchenko V.,['p1'],['N'],[],['11/03/2012'],['11/03/2012'],nan,1.0,0.7301255230125523,0.2698744769874477,1,0
Bartoli M.,Goerges J.,"['p2', 'p1', 'p1']","['U', 'N', 'N']",['UL'],"['16/05/2012', '25/09/2012', '03/10/2012']","['16/05/2012', '25/09/2012', '03/10/2012']",0.5,1.0,1.9095224078298627,1.0904775921701377,2,1
Bartoli M.,Makarova E.,"['p1', 'p1', 'p2']","['N', 'N', 'N']",[],"['14/02/2010', '27/03/2011', '09/05/2013']","['14/02/2010', '27/03/2011', '09/05/2013']",0.5,1.0,1.847283847625348,1.152716152374652,2,1
Bartoli M.,King V.,"['p2', 'p1', 'p1', 'p2', 'p1', 'p1']","['U', 'N', 'N', 'U', 'N', 'N']","['UL', 'UL']","['18/09/2007', '07/03/2009', '03/01/2011', '21/09/2011', '13/10/2011', '19/07/2012']","['18/09/2007', '07/03/2009', '03/01/2011', '21/09/2011', '13/10/2011', '19/07/2012']",2.0,1.0,4.482426975195352,1.5175730248046475,4,2
Bartoli M.,Vakulenko J.,['p1'],['N'],[],['26/10/2007'],['26/10/2007'],nan,1.0,0.6489874638379942,0.35101253616200573,1,0
Bartoli M.,Zhang S.,['p1'],['N'],[],['08/10/2009'],['08/10/2009'],nan,1.0,0.7633735312306741,0.23662646876932586,1,0
Bartoli M.,Cirstea S.,"['p1', 'p2', 'p1']","['N', 'U', 'N']",['UL'],"['28/09/2009', '05/05/2012', '19/06/2012']","['28/09/2009', '05/05/2012', '19/06/2012']",inf,1.0,2.2133841151318983,0.7866158848681015,2,1
Bartoli M.,Davenport L.,['p2'],['N'],[],['19/03/2008'],['19/03/2008'],nan,1.0,0.2757499475561149,0.7242500524438851,0,1
Bartoli M.,Rybarikova M.,"['p1', 'p1', 'p1', 'p2']","['N', 'N', 'N', 'U']",['UL'],"['06/03/2009', '04/10/2009', '25/03/2010', '25/04/2011']","['06/03/2009', '04/10/2009', '25/03/2010', '25/04/2011']",0.6666666666666666,1.0,2.946725687192773,1.0532743128072273,3,1
Bartoli M.,Ivanova E.,['p1'],['N'],[],['03/03/2011'],['03/03/2011'],nan,1.0,0.9099567099567099,0.09004329004329005,1,0
Bartoli M.,Szavay A.,"['p2', 'p1', 'p1']","['N', 'N', 'N']",[],"['08/05/2008', '14/10/2008', '16/06/2010']","['08/05/2008', '14/10/2008', '16/06/2010']",0.5,1.0,1.7215962690498174,1.2784037309501823,2,1
Bartoli M.,Keothavong A.,['p1'],['N'],[],['18/07/2008'],['18/07/2008'],nan,1.0,0.7468465591569535,0.2531534408430465,1,0
Bartoli M.,Cetkovska P.,"['p2', 'p2']","['U', 'U']","['UL', 'UL']","['11/06/2008', '26/08/2011']","['11/06/2008', '26/08/2011']",inf,0.3333333333333333,1.1826211222981506,0.8173788777018494,0,2
Bartoli M.,Wozniacki C.,"['p2', 'p2', 'p2', 'p1', 'p1', 'p2', 'p2', 'p2']","['U', 'N', 'N', 'U', 'U', 'N', 'N', 'N']","['UL', 'UW', 'UW']","['19/02/2008', '28/03/2008', '21/08/2008', '30/04/2009', '12/08/2010', '25/02/2011', '20/03/2011', '21/02/2013']","['19/02/2008', '28/03/2008', '21/08/2008', '30/04/2009', '12/08/2010', '25/02/2011', '20/03/2011', '21/02/2013']",1.2,1.0,2.6606685951588274,5.339331404841173,2,6
Bartoli M.,Radwanska U.,['p2'],['U'],['UL'],['23/05/2012'],['23/05/2012'],nan,1.0,0.7625482625482626,0.23745173745173742,0,1
Bartoli M.,Czink M.,"['p1', 'p1', 'p1']","['N', 'N', 'N']",[],"['06/01/2009', '17/04/2009', '10/10/2011']","['06/01/2009', '17/04/2009', '10/10/2011']",nan,1.0,2.3693937951976984,0.6306062048023017,3,0
Bartoli M.,Williams S.,['p2'],['N'],[],['31/07/2011'],['31/07/2011'],nan,1.0,0.25865580448065173,0.7413441955193483,0,1
Bacsinszky T.,Bartoli M.,['p2'],['N'],[],['16/02/2011'],['16/02/2011'],nan,1.0,0.2760084925690021,0.7239915074309979,0,1
Bartoli M.,Knapp K.,['p1'],['N'],[],['07/01/2008'],['07/01/2008'],nan,1.0,0.7717996289424861,0.2282003710575139,1,0
Bartoli M.,Dulko G.,"['p1', 'p1']","['N', 'N']",[],"['16/06/2009', '27/03/2010']","['16/06/2009', '27/03/2010']",nan,1.0,1.4181402969847947,0.5818597030152052,2,0
Bartoli M.,Paszek T.,"['p1', 'p2']","['N', 'U']",['UL'],"['25/10/2007', '22/06/2012']","['25/10/2007', '22/06/2012']",inf,1.0,1.3629384098890727,0.6370615901109271,1,1
Bartoli M.,Wickmayer Y.,"['p1', 'p1', 'p1', 'p2']","['U', 'N', 'U', 'U']","['UW', 'UW', 'UL']","['30/03/2010', '27/09/2010', '18/03/2011', '13/07/2012']","['30/03/2010', '27/09/2010', '18/03/2011', '13/07/2012']",0.6666666666666666,1.0,2.111742607666187,1.8882573923338126,3,1
Bartoli M.,Kleybanova A.,"['p1', 'p1', 'p1']","['N', 'N', 'U']",['UW'],"['19/06/2008', '06/10/2009', '21/02/2011']","['19/06/2008', '06/10/2009', '21/02/2011']",0.0,0.4000000000000001,1.615561245675993,1.3844387543240073,3,0
Bartoli M.,Cibulkova D.,"['p1', 'p2', 'p1', 'p2']","['N', 'N', 'U', 'N']",['UW'],"['07/02/2008', '03/08/2008', '30/09/2008', '22/07/2012']","['07/02/2008', '03/08/2008', '30/09/2008', '22/07/2012']",0.5,1.0,1.8220538954978702,2.1779461045021296,2,2
Bartoli M.,Errani S.,"['p2', 'p2', 'p2']","['N', 'N', 'N']",[],"['24/08/2012', '26/09/2012', '12/03/2013']","['24/08/2012', '26/09/2012', '12/03/2013']",inf,0.4000000000000001,1.2977170489883236,1.7022829510116764,0,3
Bartoli M.,Zakopalova K.,"['p2', 'p2', 'p1', 'p1', 'p2', 'p1']","['U', 'U', 'N', 'N', 'U', 'N']","['UL', 'UL', 'UL']","['18/05/2010', '13/01/2011', '24/08/2011', '11/02/2012', '03/01/2013', '18/02/2013']","['18/05/2010', '13/01/2011', '24/08/2011', '11/02/2012', '03/01/2013', '18/02/2013']",4.0,0.5454545454545454,4.05326469735101,1.94673530264899,3,3
